DataType,Date,Station id,Value,Station name,Latitude,Longitude
PRCP,2017-09-05,GHCND:US1FLMD0022,0.0,"HAMMOCKS 0.5 SSE, FL US",25.665,-80.4395
PRCP,2017-09-05,GHCND:USW00092826,0.46,"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183
PRCP,2017-09-05,GHCND:US1FLCR0042,1.03,"CHOKOLOSKEE 0.3 ENE, FL US",25.816577,-81.357293
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:US1FLMN0006,0.0,"CUDJOE KEY 0.9 SSW, FL US",24.659425,-81.506312
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USW00012897,0.0,"NAPLES MUNICIPAL AIRPORT, FL US",26.155,-81.7752
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USC00086078,0.0,"NAPLES, FL US",26.1653,-81.6843
PRCP,2017-09-05,GHCND:USW00012888,0.0,"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.6475,-80.43306
PRCP,2017-09-05,GHCND:USC00085359,0.16,"MARCO ISLAND, FL US",25.9491,-81.7138
PRCP,2017-09-05,GHCND:USC00087760,0.0,"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936
